cliphist 1:0.5.0-1
cmake 3.29.5-2
cmark 0.31.0-2
coreutils 9.5-1
cpio 2.15-1
cppdap 1.58.0-1
cryptsetup 2.7.2-1
curl 8.8.0-1
dav1d 1.4.2-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dconf 0.40.0-2
debugedit 5.0-6
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.24-1
diffutils 3.10-1
dnsmasq 2.90-1
double-conversion 3.3.0-1
dtc 1.7.0-5
duktape 2.7.0-6
e2fsprogs 1.47.1-4
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
egl-wayland 2:1.1.13-2
eglexternalplatform 1.1-3
electron29 29.4.3-1
enchant 2.8.0-1
exiv2 0.28.2-4
exo 4.18.0-1
expat 2.6.2-1
extra-cmake-modules 6.3.0-1
faad2 2.11.1-1
fakeroot 1.35-1
fastfetch 2.15.0-1
fcitx5 5.1.10-1
fcitx5-configtool 5.1.6-1
fcitx5-gtk 5.1.3-1
fcitx5-mozc 2.26.4632.102.g4d2e3bd-2
fcitx5-qt 5.1.6-3
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 126.0.1-1
firewalld 2.1.2-3
fish 3.7.1-2
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.5-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse3 3.16.2-1
gamemode 1.8.1-2
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gcr 3.41.2-1
gcr-4 4.2.1-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
geoclue 2.7.1-3
gettext 0.22.5-1
ghc-filesystem 1.5.14-1
giflib 5.2.2-1
git 2.45.2-1
gjs 2:1.80.2-2
glew 2.2.0-6
glfw 3.4-2
glib-networking 1:2.80.0-1
glib2 2.80.2-2
glibc 2.39+r52+gf8e4623421-1
glibmm 2.66.7-1
glibmm-2.68 2.80.0-1
glslang 14.1.0-1
glu 9.0.3-1
gmp 6.3.0-2
gnome-keyring 1:46.1-2
gnupg 2.4.5-1
gnutls 3.8.5-1
go 2:1.22.4-1
gobject-introspection 1.80.1-3
gobject-introspection-runtime 1.80.1-3
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
granite 6.2.0-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
grub 2:2.12-2
gsettings-desktop-schemas 46.0-1
gsm 1.0.22-1
gssdp 1.6.3-1
gst-plugins-bad-libs 1.24.3-1
gst-plugins-base 1.24.3-1
gst-plugins-base-libs 1.24.3-1
gst-plugins-good 1.24.3-1
gstreamer 1.24.3-1
gtest 1.14.0-1
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.14.4-1
gtk-vnc 1.3.1-1
gtk3 1:3.24.42-1
gtk4 1:4.14.4-1
gtkmm-4.0 4.14.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.54.1-1
gzip 1.13-2
harfbuzz 8.5.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-2
highway 1.2.0-1
hwdata 0.383-1
hwloc 2.10.0-1
hyprcursor 0.1.9-1
hyprland 0.40.0-1
hyprlang 0.5.2-1
hyprshot 1.3.0-1
iana-etc 20240412-1
icu 75.1-1
imath 3.1.11-2
imlib2 1.12.2-2
iniparser 4.2.2-1
iproute2 6.9.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jansson 2.14-4
jasper 4.2.4-1
java-environment-common 3-5
java-runtime-common 3-5
jbigkit 2.1-8
jdk17-openjdk 17.0.11.u9-1
jq 1.7.1-2
js115 115.11.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
karchive 6.3.0-1
kauth 6.3.0-1
kbd 2.6.4-1
kbookmarks 6.3.0-1
kcmutils 6.3.0-1
kcodecs 6.3.0-1
kcolorscheme 6.3.0-1
kcompletion 6.3.0-1
kconfig 6.3.0-1
kconfigwidgets 6.3.0-1
kcontacts 1:6.3.0-1
kcoreaddons 6.3.0-1
kcrash 6.3.0-1
kdbusaddons 6.3.0-1
kdeclarative 6.3.0-1
kdeconnect 24.05.0-2
keyutils 1.6.3-2
kglobalaccel 6.3.0-1
kguiaddons 6.3.0-1
ki18n 6.3.0-1
kiconthemes 6.3.0-1
kio 6.3.0-1
kirigami 6.3.0-1
kirigami-addons 1.2.1-1
kitemmodels 6.3.0-1
kitemviews 6.3.0-1
kitty 0.35.1-1
kitty-shell-integration 0.35.1-1
kitty-terminfo 0.35.1-1
kjobwidgets 6.3.0-1
kmod 32-1
knotifications 6.3.0-1
kpeople 6.3.0-1
kpipewire 6.0.5-1
krb5 1.21.2-2
kservice 6.3.0-1
kstatusnotifieritem 6.3.0-1
ksvg 6.3.0-1
kwallet 6.3.0-1
kwidgetsaddons 6.3.0-1
kwindowsystem 6.3.0-1
kxmlgui 6.3.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-5
lcms2 2.16-1
lib32-alsa-lib 1.2.11-1
lib32-alsa-plugins 1.2.7.1-2
lib32-amdvlk 2024.Q2.1-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.8.0-1
lib32-dbus 1.14.10-2
lib32-e2fsprogs 1.47.1-1
lib32-expat 2.6.2-1
lib32-gcc-libs 14.1.1+r58+gfc9fb69ad62-1
lib32-glib2 2.80.2-2
lib32-glibc 2.39+r52+gf8e4623421-1
lib32-gst-plugins-base-libs 1.24.4-1
